azimuth,elevation,port 1_bits,port 2_bits,port 3_bits,port 4_bits,port 5_bits,port 6_bits,port 7_bits,port 8_bits,port 9_bits,port 10_bits,port 11_bits,port 12_bits,port 13_bits,port 14_bits,port 15_bits,port 16_bits,port 17_bits,port 18_bits,port 19_bits,port 20_bits,port 21_bits,port 22_bits,port 23_bits,port 24_bits,port 25_bits
-50,-50,'100101,'110111,'101100,'011110,'000011,'001100,'011110,'111101,'100000,'110010,'101110,'011101,'000000,'010010,'110001,'111111,'100010,'010001,'001011,'011000,'000010,'010001,'110011,'101000,'111010
-50,-45,'010101,'101111,'100010,'001001,'000111,'110100,'111110,'010011,'011000,'100110,'100110,'101101,'000000,'110010,'111001,'010111,'011100,'100001,'101011,'000100,'000100,'001110,'111101,'110000,'011010
-50,-40,'110101,'000000,'101010,'010101,'111111,'110100,'000001,'101011,'010100,'111110,'011010,'110101,'000000,'101010,'010101,'011011,'110100,'000001,'101011,'010100,'100000,'011010,'110101,'000000,'101010
-50,-35,'001101,'110000,'010110,'000011,'111000,'110100,'010001,'000111,'111100,'101001,'110010,'100101,'000000,'111010,'101101,'100011,'000100,'011110,'101011,'001100,'100111,'000010,'011001,'101111,'001010
-50,-30,'111101,'111000,'111110,'011011,'011100,'110100,'110001,'110111,'110010,'110101,'000010,'000101,'000000,'000110,'000011,'101101,'101000,'101110,'101011,'001100,'010011,'010100,'100001,'100111,'100010
-50,-25,'010011,'110100,'001001,'101111,'011010,'001100,'101001,'011111,'111010,'000011,'011100,'111001,'000000,'100110,'010011,'100101,'010000,'110110,'001011,'101100,'010101,'110000,'001110,'101011,'011100
-50,-20,'101011,'111100,'100101,'110000,'101110,'011100,'000101,'010000,'110110,'101011,'001100,'011001,'000000,'010110,'001011,'101001,'011111,'000110,'010011,'001100,'110001,'101111,'111010,'100011,'110100
-50,-15,'100111,'001010,'111101,'100100,'001001,'111100,'010101,'101000,'111110,'010111,'110100,'101001,'000000,'110110,'101011,'100001,'110111,'011010,'100011,'110100,'001110,'111011,'100010,'001101,'111000
-50,-10,'011111,'100110,'001011,'000010,'110101,'100010,'101101,'000100,'110001,'011111,'010100,'101001,'000000,'110110,'011011,'101110,'000111,'110010,'111101,'010100,'101010,'000011,'001100,'111001,'010000
-50,-5,'110000,'111110,'010111,'011010,'100011,'001010,'111101,'110100,'011001,'010000,'100100,'101001,'000000,'110110,'111011,'010110,'101011,'100010,'001101,'000100,'111100,'010101,'011000,'100001,'101111
-50,0,'100100,'001001,'000000,'001110,'111011,'111010,'010011,'011100,'100101,'101000,'100100,'001001,'000000,'001110,'111011,'111010,'010011,'011100,'100101,'101000,'100100,'001001,'000000,'001110,'111011
-50,5,'111100,'010101,'011000,'100001,'101111,'010110,'101011,'100010,'001101,'000100,'100100,'101001,'000000,'110110,'111011,'001010,'111101,'110100,'011001,'010000,'110000,'111110,'010111,'011010,'100011
-50,10,'101010,'000011,'001100,'111001,'010000,'101110,'000111,'110010,'111101,'010100,'010100,'101001,'000000,'110110,'011011,'100010,'101101,'000100,'110001,'011111,'011111,'100110,'001011,'000010,'110101
-50,15,'001110,'111011,'100010,'001101,'111000,'100001,'110111,'011010,'100011,'110100,'110100,'101001,'000000,'110110,'101011,'111100,'010101,'101000,'111110,'010111,'100111,'001010,'111101,'100100,'001001
-50,20,'110001,'101111,'111010,'100011,'110100,'101001,'011111,'000110,'010011,'001100,'001100,'011001,'000000,'010110,'001011,'011100,'000101,'010000,'110110,'101011,'101011,'111100,'100101,'110000,'101110
-50,25,'010101,'110000,'001110,'101011,'011100,'100101,'010000,'110110,'001011,'101100,'011100,'111001,'000000,'100110,'010011,'001100,'101001,'011111,'111010,'000011,'010011,'110100,'001001,'101111,'011010
-50,30,'010011,'010100,'100001,'100111,'100010,'101101,'101000,'101110,'101011,'001100,'000010,'000101,'000000,'000110,'000011,'110100,'110001,'110111,'110010,'110101,'111101,'111000,'111110,'011011,'011100
-50,35,'100111,'000010,'011001,'101111,'001010,'100011,'000100,'011110,'101011,'001100,'110010,'100101,'000000,'111010,'101101,'110100,'010001,'000111,'111100,'101001,'001101,'110000,'010110,'000011,'111000
-50,40,'100000,'011010,'110101,'000000,'101010,'011011,'110100,'000001,'101011,'010100,'011010,'110101,'000000,'101010,'010101,'110100,'000001,'101011,'010100,'111110,'110101,'000000,'101010,'010101,'111111
-50,45,'000100,'001110,'111101,'110000,'011010,'010111,'011100,'100001,'101011,'000100,'100110,'101101,'000000,'110010,'111001,'110100,'111110,'010011,'011000,'100110,'010101,'101111,'100010,'001001,'000111
-50,50,'000010,'010001,'110011,'101000,'111010,'111111,'100010,'010001,'001011,'011000,'101110,'011101,'000000,'010010,'110001,'001100,'011110,'111101,'100000,'110010,'100101,'110111,'101100,'011110,'000011
-45,-50,'001101,'001111,'101100,'101110,'101101,'011100,'011110,'111101,'111111,'111100,'111110,'000011,'000000,'000010,'100001,'100000,'100010,'010001,'010011,'110000,'110010,'110001,'110011,'001000,'001010
-45,-45,'101101,'111111,'100010,'110001,'101011,'101100,'111110,'100011,'110000,'101010,'001110,'011101,'000000,'010010,'001001,'101111,'111100,'100001,'110011,'101000,'110100,'101110,'111101,'100000,'110010
-45,-40,'011101,'100000,'101010,'000101,'001111,'101100,'100001,'001011,'000100,'110110,'100110,'101101,'000000,'110010,'111001,'000111,'001100,'111110,'110011,'011000,'001000,'000110,'110101,'111111,'010010
-45,-35,'000011,'101000,'010110,'011101,'110000,'011100,'010001,'111011,'001100,'100001,'011010,'110101,'000000,'101010,'010101,'001011,'100100,'011110,'010011,'111000,'101111,'010010,'011001,'110111,'000010
-45,-30,'010011,'100100,'111110,'101011,'110100,'011100,'001001,'010111,'000010,'011001,'001010,'010101,'000000,'011010,'001101,'000011,'011000,'001110,'010011,'000100,'101011,'110100,'100001,'111011,'011100
-45,-25,'011011,'101100,'001001,'110111,'010010,'111100,'011001,'101111,'001010,'110101,'010010,'100101,'000000,'111010,'011101,'001101,'110000,'010110,'100011,'000100,'011101,'101000,'001110,'110011,'010100
-45,-20,'100111,'100010,'100101,'100000,'100110,'100010,'100101,'100000,'000110,'000011,'000010,'000101,'000000,'000110,'000011,'000101,'111111,'111010,'111101,'111000,'111001,'111111,'111010,'111101,'111000
-45,-15,'011111,'011010,'111101,'111000,'000001,'010010,'110101,'001000,'001110,'101011,'111100,'111001,'000000,'100110,'100011,'001001,'001111,'101010,'011101,'011000,'000001,'100111,'100010,'010101,'010000
-45,-10,'010000,'110110,'001011,'101100,'011001,'101010,'011101,'111000,'000001,'100111,'011100,'111001,'000000,'100110,'010011,'000001,'100111,'010010,'110101,'001000,'010110,'110011,'001100,'101001,'011111
-45,-5,'111000,'100001,'010111,'001010,'101101,'111010,'000011,'010100,'110001,'001111,'101100,'111001,'000000,'100110,'110011,'101110,'011011,'000010,'100101,'010000,'110010,'001101,'011000,'111110,'100111
-45,0,'101100,'111001,'000000,'100110,'110011,'010110,'110011,'101100,'011001,'000000,'101100,'111001,'000000,'100110,'110011,'010110,'110011,'101100,'011001,'000000,'101100,'111001,'000000,'100110,'110011
-45,5,'110010,'001101,'011000,'111110,'100111,'101110,'011011,'000010,'100101,'010000,'101100,'111001,'000000,'100110,'110011,'111010,'000011,'010100,'110001,'001111,'111000,'100001,'010111,'001010,'101101
-45,10,'010110,'110011,'001100,'101001,'011111,'000001,'100111,'010010,'110101,'001000,'011100,'111001,'000000,'100110,'010011,'101010,'011101,'111000,'000001,'100111,'010000,'110110,'001011,'101100,'011001
-45,15,'000001,'100111,'100010,'010101,'010000,'001001,'001111,'101010,'011101,'011000,'111100,'111001,'000000,'100110,'100011,'010010,'110101,'001000,'001110,'101011,'011111,'011010,'111101,'111000,'000001
-45,20,'111001,'111111,'111010,'111101,'111000,'000101,'111111,'111010,'111101,'111000,'000010,'000101,'000000,'000110,'000011,'100010,'100101,'100000,'000110,'000011,'100111,'100010,'100101,'100000,'100110
-45,25,'011101,'101000,'001110,'110011,'010100,'001101,'110000,'010110,'100011,'000100,'010010,'100101,'000000,'111010,'011101,'111100,'011001,'101111,'001010,'110101,'011011,'101100,'001001,'110111,'010010
-45,30,'101011,'110100,'100001,'111011,'011100,'000011,'011000,'001110,'010011,'000100,'001010,'010101,'000000,'011010,'001101,'011100,'001001,'010111,'000010,'011001,'010011,'100100,'111110,'101011,'110100
-45,35,'101111,'010010,'011001,'110111,'000010,'001011,'100100,'011110,'010011,'111000,'011010,'110101,'000000,'101010,'010101,'011100,'010001,'111011,'001100,'100001,'000011,'101000,'010110,'011101,'110000
-45,40,'001000,'000110,'110101,'111111,'010010,'000111,'001100,'111110,'110011,'011000,'100110,'101101,'000000,'110010,'111001,'101100,'100001,'001011,'000100,'110110,'011101,'100000,'101010,'000101,'001111
-45,45,'110100,'101110,'111101,'100000,'110010,'101111,'111100,'100001,'110011,'101000,'001110,'011101,'000000,'010010,'001001,'101100,'111110,'100011,'110000,'101010,'101101,'111111,'100010,'110001,'101011
-45,50,'110010,'110001,'110011,'001000,'001010,'100000,'100010,'010001,'010011,'110000,'111110,'000011,'000000,'000010,'100001,'011100,'011110,'111101,'111111,'111100,'001101,'001111,'101100,'101110,'101101
-40,-50,'111101,'011111,'101100,'001110,'010101,'000010,'111110,'011101,'101111,'001100,'010001,'100011,'000000,'111100,'011110,'110000,'010010,'100001,'000011,'111111,'011010,'001001,'110011,'010000,'100010
-40,-45,'000011,'000000,'100010,'100001,'100011,'000010,'000001,'100011,'100000,'100010,'111110,'000011,'000000,'000010,'100001,'111111,'111100,'000001,'000011,'100000,'111100,'111110,'111101,'000000,'000010
-40,-40,'010011,'110000,'101010,'111001,'000111,'000010,'010001,'110011,'101000,'111010,'101110,'011101,'000000,'010010,'110001,'110111,'101100,'011110,'000011,'010000,'000100,'100110,'110101,'101111,'011100
-40,-35,'001011,'111000,'010110,'101101,'111111,'000010,'110001,'011011,'100100,'001110,'010110,'101101,'000000,'110010,'011001,'111011,'010100,'101110,'000011,'110000,'100000,'110010,'011001,'100111,'001100
-40,-30,'011011,'110100,'111110,'110011,'111000,'100010,'101001,'100111,'101100,'100001,'000110,'001101,'000000,'001010,'000101,'110011,'111000,'110110,'111101,'110000,'100111,'101100,'100001,'101011,'010100
-40,-25,'010111,'111100,'001001,'100111,'011100,'010010,'111001,'001111,'100010,'011001,'011010,'110101,'000000,'101010,'010101,'111101,'001000,'100110,'011101,'110000,'010011,'111000,'001110,'100011,'011000
-40,-20,'011111,'110010,'100101,'111111,'101010,'001010,'010101,'111111,'101010,'110101,'101010,'010101,'000000,'011010,'110101,'110101,'100000,'011010,'001101,'010000,'110101,'100000,'111010,'101101,'010000
-40,-15,'010000,'000110,'111101,'101000,'110110,'011010,'001101,'110000,'100110,'111101,'110010,'010101,'000000,'011010,'101101,'111001,'101111,'001010,'010101,'100000,'101001,'110111,'100010,'000101,'011111
-40,-10,'111000,'011110,'001011,'110100,'010001,'000110,'111101,'011000,'001110,'110011,'010010,'100101,'000000,'111010,'011101,'001001,'010111,'100010,'000101,'111111,'011110,'101011,'001100,'010001,'100111
-40,-5,'001100,'110001,'010111,'100010,'000101,'110110,'010011,'100100,'000001,'111011,'010010,'100101,'000000,'111010,'011101,'000001,'111011,'011100,'101001,'101111,'000110,'111101,'011000,'101110,'001011
-40,0,'010010,'100101,'000000,'111010,'011101,'101110,'001011,'001100,'110001,'010111,'010010,'100101,'000000,'111010,'011101,'101110,'001011,'001100,'110001,'010111,'010010,'100101,'000000,'111010,'011101
-40,5,'000110,'111101,'011000,'101110,'001011,'000001,'111011,'011100,'101001,'101111,'010010,'100101,'000000,'111010,'011101,'110110,'010011,'100100,'000001,'111011,'001100,'110001,'010111,'100010,'000101
-40,10,'011110,'101011,'001100,'010001,'100111,'001001,'010111,'100010,'000101,'111111,'010010,'100101,'000000,'111010,'011101,'000110,'111101,'011000,'001110,'110011,'111000,'011110,'001011,'110100,'010001
-40,15,'101001,'110111,'100010,'000101,'011111,'111001,'101111,'001010,'010101,'100000,'110010,'010101,'000000,'011010,'101101,'011010,'001101,'110000,'100110,'111101,'010000,'000110,'111101,'101000,'110110
-40,20,'110101,'100000,'111010,'101101,'010000,'110101,'100000,'011010,'001101,'010000,'101010,'010101,'000000,'011010,'110101,'001010,'010101,'111111,'101010,'110101,'011111,'110010,'100101,'111111,'101010
-40,25,'010011,'111000,'001110,'100011,'011000,'111101,'001000,'100110,'011101,'110000,'011010,'110101,'000000,'101010,'010101,'010010,'111001,'001111,'100010,'011001,'010111,'111100,'001001,'100111,'011100
-40,30,'100111,'101100,'100001,'101011,'010100,'110011,'111000,'110110,'111101,'110000,'000110,'001101,'000000,'001010,'000101,'100010,'101001,'100111,'101100,'100001,'011011,'110100,'111110,'110011,'111000
-40,35,'100000,'110010,'011001,'100111,'001100,'111011,'010100,'101110,'000011,'110000,'010110,'101101,'000000,'110010,'011001,'000010,'110001,'011011,'100100,'001110,'001011,'111000,'010110,'101101,'111111
-40,40,'000100,'100110,'110101,'101111,'011100,'110111,'101100,'011110,'000011,'010000,'101110,'011101,'000000,'010010,'110001,'000010,'010001,'110011,'101000,'111010,'010011,'110000,'101010,'111001,'000111
-40,45,'111100,'111110,'111101,'000000,'000010,'111111,'111100,'000001,'000011,'100000,'111110,'000011,'000000,'000010,'100001,'000010,'000001,'100011,'100000,'100010,'000011,'000000,'100010,'100001,'100011
-40,50,'011010,'001001,'110011,'010000,'100010,'110000,'010010,'100001,'000011,'111111,'010001,'100011,'000000,'111100,'011110,'000010,'111110,'011101,'101111,'001100,'111101,'011111,'101100,'001110,'010101
-35,-50,'010011,'111111,'101100,'010110,'111001,'010010,'000001,'101101,'010111,'000100,'101001,'110011,'000000,'101100,'110110,'011000,'110010,'000001,'011101,'110111,'100110,'011001,'110011,'100000,'011100
-35,-45,'110011,'010000,'100010,'111110,'011101,'010010,'100001,'000011,'011111,'101100,'110001,'100011,'000000,'111100,'101110,'010000,'000010,'111110,'011101,'001111,'010010,'100001,'111101,'011111,'101100
-35,-40,'101011,'101000,'101010,'101001,'101011,'110010,'110001,'010011,'010000,'010010,'000001,'000011,'000000,'000010,'000001,'011111,'011100,'101110,'101101,'101111,'110100,'110110,'110101,'110111,'110100
-35,-35,'000111,'100100,'010110,'110101,'110111,'110010,'001001,'101011,'011000,'111010,'011110,'111101,'000000,'100010,'010001,'010111,'110100,'001110,'101101,'101111,'101000,'101010,'011001,'111011,'000100
