azimuth,elevation,port 1,port 2,port 3,port 4,port 5,port 6,port 7,port 8,port 9,port 10,port 11,port 12,port 13,port 14,port 15,port 16,port 17,port 18,port 19,port 20,port 21,port 22,port 23,port 24,port 25
-50,-50,-129.375,-28.125,73.125,168.750,-90.000,67.500,168.750,-95.625,5.625,106.875,163.125,-101.250,0.000,101.250,-163.125,-5.625,95.625,-168.750,-67.500,33.750,90.000,-168.750,-73.125,28.125,129.375
-50,-45,-123.750,-16.875,95.625,-157.500,-45.000,61.875,174.375,-78.750,33.750,140.625,140.625,-106.875,0.000,106.875,-140.625,-33.750,78.750,-174.375,-61.875,45.000,45.000,157.500,-95.625,16.875,123.750
-50,-40,-118.125,0.000,118.125,-123.750,-5.625,61.875,180.000,-61.875,56.250,174.375,123.750,-118.125,0.000,118.125,-123.750,-56.250,61.875,-180.000,-61.875,56.250,5.625,123.750,-118.125,0.000,118.125
-50,-35,-112.500,16.875,146.250,-90.000,39.375,61.875,-168.750,-45.000,84.375,-151.875,106.875,-129.375,0.000,129.375,-106.875,-84.375,45.000,168.750,-61.875,67.500,-39.375,90.000,-146.250,-16.875,112.500
-50,-30,-95.625,39.375,174.375,-56.250,78.750,61.875,-163.125,-28.125,106.875,-118.125,90.000,-135.000,0.000,135.000,-90.000,-106.875,28.125,163.125,-61.875,67.500,-78.750,56.250,-174.375,-39.375,95.625
-50,-25,-78.750,61.875,-157.500,-16.875,123.750,67.500,-151.875,-11.250,129.375,-90.000,78.750,-140.625,0.000,140.625,-78.750,-129.375,11.250,151.875,-67.500,73.125,-123.750,16.875,157.500,-61.875,78.750
-50,-20,-61.875,84.375,-129.375,16.875,163.125,78.750,-135.000,11.250,151.875,-61.875,67.500,-146.250,0.000,146.250,-67.500,-151.875,-11.250,135.000,-78.750,67.500,-163.125,-16.875,129.375,-84.375,61.875
-50,-15,-39.375,112.500,-95.625,50.625,-157.500,84.375,-123.750,28.125,174.375,-33.750,61.875,-151.875,0.000,151.875,-61.875,-174.375,-28.125,123.750,-84.375,61.875,157.500,-50.625,95.625,-112.500,39.375
-50,-10,-11.250,140.625,-67.500,90.000,-118.125,95.625,-106.875,45.000,-163.125,-11.250,56.250,-151.875,0.000,151.875,-56.250,163.125,-45.000,106.875,-95.625,56.250,118.125,-90.000,67.500,-140.625,11.250
-50,-5,16.875,174.375,-33.750,123.750,-84.375,112.500,-95.625,61.875,-146.250,11.250,50.625,-151.875,0.000,151.875,-50.625,146.250,-61.875,95.625,-112.500,45.000,84.375,-123.750,33.750,-174.375,-16.875
-50,0,50.625,-157.500,0.000,157.500,-50.625,129.375,-78.750,78.750,-129.375,28.125,50.625,-157.500,0.000,157.500,-50.625,129.375,-78.750,78.750,-129.375,28.125,50.625,-157.500,0.000,157.500,-50.625
-50,5,84.375,-123.750,33.750,-174.375,-16.875,146.250,-61.875,95.625,-112.500,45.000,50.625,-151.875,0.000,151.875,-50.625,112.500,-95.625,61.875,-146.250,11.250,16.875,174.375,-33.750,123.750,-84.375
-50,10,118.125,-90.000,67.500,-140.625,11.250,163.125,-45.000,106.875,-95.625,56.250,56.250,-151.875,0.000,151.875,-56.250,95.625,-106.875,45.000,-163.125,-11.250,-11.250,140.625,-67.500,90.000,-118.125
-50,15,157.500,-50.625,95.625,-112.500,39.375,-174.375,-28.125,123.750,-84.375,61.875,61.875,-151.875,0.000,151.875,-61.875,84.375,-123.750,28.125,174.375,-33.750,-39.375,112.500,-95.625,50.625,-157.500
-50,20,-163.125,-16.875,129.375,-84.375,61.875,-151.875,-11.250,135.000,-78.750,67.500,67.500,-146.250,0.000,146.250,-67.500,78.750,-135.000,11.250,151.875,-61.875,-61.875,84.375,-129.375,16.875,163.125
